bridge spider	# a large  often found on bridges and near water ().
both-handedly	# Using both hands.
bitchlike	# Like a bitch (malicious woman).
bioinsecticidal	# Relating to a bioinsecticide
bisque doll	# A doll made partially or wholly out of bisque porcelain.
betrixaban	# A particular anticoagulant drug.|passage=The problem of renal excretion, and so, inadvisability in the face of low creatinine clearance, may be addressed by '''betrixaban''', little of which is excreted via this organ.}}
bridle wrist	# The wrist of the left hand, in which a horseman holds the bridle.
beat one's brain	# en To struggle to think or remember something
bunsenite	# en An isometric-hexoctahedral mineral containing nickel and oxygen, .
bathmism	# en A supposed "growth force" in vitalism.
black elder	# ''Sambucus nigra''
blow-by	# en In an internal combustion engine, any burnt or unburnt matter escaping from the cylinder, past the (worn) rings on the piston, and into the crankcase.
brawniness	# The state of being brawny or having brawn.
baptism of blood	# en Christian martyrdom
bear witness	# To deliver a testimony, especially as witness#: ''He hesitated to '''bear witness''' against them in court for fear of reprisals by the felons' accomplices''# To prove, demonstrate#: ''The dubious state of the whole society '''bears witness''' of years of misrule''|lang=en|date=July 7, 2017|author=Ignatiy Vishnevetsky|title=The ambitious War For The Planet Of The Apes ends up surrendering to formula|work=The Onion AV Club|url=http://www.avclub.com/review/ambitious-war-planet-apes-ends-surrendering-formul-257757|page=|passage=In stretches, this new Apes is an audacious, idiosyncratic piece of blockbuster filmmaking: a mix of Pixar, revenge Westerns, and Apocalypse Now, told almost entirely from the point-of-view of a posse of gun-toting, super-evolved apes as they roam the snowy Sierra Nevada foothills of the post-apocalyptic future, accompanied by a mute human girl, and '''bear witness''' to the strange cruelty of man. }}
bufotenine	# en An alkaloid, found in the skins of some toads, related to serotonin.
backcast	# en long ago|Long ago; in the past.
bareish	# Somewhat bare.#: ''The cellar was a '''bareish''' room containing a long shelf and a few wine barrels.''
batman	# To act as a batman.
brachioproctic	# en Of or pertaining to a sexual practice (brachioproctic insertion) wherein a hand or arm is inserted into a rectum.
beau sabreur	# A gallant warrior; a handsome or dashing adventurer.|lang=en|year=1817|author=Anon.|title=The Edinburgh Annual Register for 1815|pageurl=http://books.google.com/books?id=XHQEAAAAQAAJ&dq=%22le%20beau%20sabreur%22&pg=PA198#v=onepage&q&f=false|page=198}}
bicircular	# Having the form of two circles.# en Having nodes at the two circular points at infinity.#: ''a '''bicircular''' curve''
bronzeware	# Articles made from bronze, treated as a group.
beour	# en An (often attractive) woman or girl.
Buharism	# The political ideology of Nigerian president , especially during his time as dictator of Nigeria.Category:English eponyms
behenic	# Of or pertaining to behenic acid or its derivatives.
bulbul	# Any of several passerine songbirds, of the family Pycnonotidae (currently, 27 genera recognized), native to Africa and parts of Asia, sometimes known as the ‘nightingale of the East’.
ballistite	# A smokeless propellant made from nitrocellulose and nitroglycerine, developed in the late 19th century.
bogart	# en To selfishly take or keep something; to hog; especially to hold a joint (marijuana) dangling between the lips instead of passing it on.#: ''Dude, don’t '''bogart''' the chocolate fudge!''#: ''Don’t '''bogart''' the can, man.''# en To get something by bullying, intimidation; be a tough guy.#: ''He tried to '''bogart''' his way in.''
bipedid	# en Any member of the family .Category:en:Lizards
beezer	# en en, en#: ''We had a '''beezer''' time at the party.''
betwynde	# en To escape.
Britannically	# In the British manner# With reference to Britain or Great Britain
budder	# A plant that buds.#: ''Grenache is an early '''budder'''.''# en A person who practices budding (a form of grafting).# en A tool used for budding.
Beerbohmian	# Of or pertaining to  (1872–1956), English parodist and caricaturist.Category:English eponyms
bistronomically	# In a bistronomic manner
bagwoman	# A female bagman .
bladework	# The skill of handling the blade of an oar in rowing.
braking	# The act of applying brakes.#: ''the acceleratings and '''brakings''' of a vehicle''
Berkeleian	# Of or relating to  or his system of idealism.#: '''''Berkeleian''' philosophy''
bluefish	# A voracious fish, , found in waters of the Atlantic and Indian Ocean.# en The puddingwife wrasse .# A  ().# en A sablefish ().# en An  ().# en .
biophyte	# en Any plant that obtains nourishment from the bodies of insects (or other once-living organisms)
botargo	# bottarga|Bottarga; a cake or sausage made from salted mullet roe.Category:en:Foods
bushelwoman	# en A tailor's female assistant for repairing garments.
beeflike	# Like beef, or some aspect of beef.
biolinguistics	# en Study of the biology and evolution of language.
blastomycin	# A sterile material, produced from cultures of the fungus Blastomyces, once used for intradermal testing
banksterism	# Criminally irresponsible banking activities.
bone turquoise	# fossil bone or tooth of a delicate blue colour, sometimes used as imitation turquoise
basinless	# Without a basin.
bindable	# Capable of binding or of being bound
body-hugging	# en Clinging tightly to one's body.
benzilate	# en A salt or ester of benzilic acid.
bagrada bug	# ''Bagrada hilaris'', a shield bug that is harmful to plants.
beater-upper	# One who beat up|beats people up.|passage=Yesterday he was doing just that by submitting to a thorough beating up at the hands of Miss Lupe Velez, who's probably the best '''beater-upper''' of either sex in Hollywood.}}
bill of adventure	# en A document stating that goods to be shipped are shipped at the owner's risk.
Barmecide feast	# Something that promises much but delivers nothing; an illusion.
biomineralize	# en To mineralize within a biological organism; e.g. to form bone (in vertebrates) or silica skeleton (in diatoms).
butylmagnesium	# en Any of several isomeric organomagnesium reagents used in chemical synthesis.
biceps	# en Any muscle having two heads.# Specifically, the biceps brachii, the flexor of the elbow.# en The upper arm, especially the collective muscles of the upper arm.# en A point in a metrical pattern that can be filled either with one long syllable (a longum) or two short syllables (two brevia)
bitterweed	# Any plant in the genus ''Ambrosia'', especially .# The plant .Category:en:Composites
bioentrepreneur	# An entrepreneur in the field of biotechnology
bubble team	# en A team on the bubble for an upcoming tournament.#: ''The Knights are everybody's favorite '''bubble team''' this year.''
benzoctamine	# A drug with sedative and anxiolytic properties.
bandagist	# One who applies bandages.#: # Someone who produces or sells bandages.
baffle	# A device used to dampen the effects of such things as sound, light, or fluid. Specifically, a baffle is a surface which is placed inside an open area to inhibit direct motion from one part to another, without preventing motion altogether.#: ''Tanker trucks use '''baffles''' to keep the liquids inside from sloshing around.''# An architectural feature designed to confuse enemies or make them vulnerable.# en A lever for operating the throttle valve of a winding engine.
bombardment	# the act of bombing, especially towns or cities# heavy artillery fire# en the incidence of an intense stream of high-energy particles directed at a substance
bluegrass gospel	# en A genre of bluegrass influenced by black gospel and Southern gospel.
bicyclase	# en Any enzyme that catalyses two cyclization reactions (typically at both ends of a carotenoid such as lycopene)
Betz cell	# A large pyramidal cell neuron located within the fifth layer of the grey matter in the primary motor cortex.Category:English eponyms
briskish	# Somewhat brisk.
be a thing	# en to exist, or to be available, widespread, possible, or a common practice
blomstrandine	# en A basic oxide mineral containing a mixture of several rare earths
box up	# en To pack into boxes.# en To confine.#: ''to be '''boxed up''' in narrow quarters''
Burnomania	# enthusiasm|Enthusiasm for the Scottish poet  (1759–1796).Category:English eponymsCategory:English words suffixed with -mania
breadnut	# A tree, , native to Latin America# The edible fruit of this tree# , a close relative of the breadfruit
bifucosylation	# fucosylation at two positions
bull-fly	# Any large fly troublesome to cattle, such as a gadfly.Category:en:Dipterans
boy	# to use the word boy to refer to someone#: # en to act as a boy 
bunch of fives	# en a fist# en a punch (blow with a fist)
bratty	# Characteristic of a brat; unruly and impolite.|lang=en|date=May 27, 2012|author=Nathan Rabin|title=TV: Review: THE SIMPSONS (CLASSIC): “New Kid On The Block” (season 4, episode 8; originally aired 11/12/1992)|work=The Onion AV Club|url=http://www.avclub.com/articles/new-kid-on-the-block,75341/|page=|passage=When Laura tells Bart that she can teach him to dance, Bart and Laura are suddenly transformed into Astaire and Rogers in a black-and-white fantasy sequence before Bart’s reverie is abruptly ended when Laura reverts back to '''bratty''' tomboy form and gives him a wedgie.}}
bor	# en boy
benzotriazolic acid	# en Any carboxylic acid derivative of benzotriazole
bureaucratization	# The formation of, or the conversion of something into, a bureaucracy.
boh	# An exclamation used to startle or frighten.
britholite	# en A basic phosphate / silicate mineral of sodium, calcium and cerium found in parts of Russia.
bare metal	# en A runtime environment where little to no abstraction is available: usually employing a low-level programming language, without access to any operating system facilities, and interface|interfacing hardware directly.# en physical|Physical hardware, as opposed to virtualised.# 
bol	# en bolognese
boa	# Any of a group of large American snakes, of the genus ''Boa'', subfamily Boinae, or family Boidae, including the boa constrictor, the  of Mexico, and the  of Peru.# en A type of scarf typically made from feathers.
backstep	# To take a step backwards# To return to a previous place or time.# To retract or take back.# To be arranged in steps going backwards.# en To recede in an abrupt fashion due to marine transgression.# To finish a specification that was initially incomplete once enough progress has been made to know all the details.
bod	# en The body.#: # en A person.#: 
binge eating disorder	# en Recurrent binge eating, but without the purging associated with bulimia nervosa
blindstitch	# To work in blind stitches.
bioautography	# A form of chromatography employing a biological detection method|passage=The resulting fractions were combined according to the thin layer chromatography (TLC) profiles and the combined fractions were tested for antimicrobial activity using '''bioautography'''.}}
bassman	# someone who plays the bass guitar|passage="We have 10 eyes on it -- all four of us you can see and the one you can't," says Martin, referring to band members Buckland, drummer Will Champion, '''bassman''' Guy Berryman and the so-called fifth member, former manager Phil Harvey.}}
bowdlerization	# The action or instance of bowdlerize|bowdlerizing; the omission or removal of material considered vulgar or indecent.
blow the whistle	# en To disclose information to the public or to appropriate authority|authorities concerning the illegal or socially harmful actions of a person or group, especially a corporation or government agency.#: ''In some jurisdictions, it is illegal to fire a person for '''blowing the whistle''' on an employer.''# en To make a piercing sound which signals a referee's action or the end of a game.
blotchy	# Covered in blotches.
beef-witted	# en stupid; dullCategory:English parasynthetic adjectives
biorationally	# In a biorational manner
berubied	# Adorned with ruby|rubies.
bioterrorism	# Terrorism that involves biological weapons or agents.
brood pouch	# en A cavity, in some animals, in which eggs develop and hatch.# en A marsupium.
background music	# Any music played in a public space whose main function is to create an atmosphere suitable to a specific occasion, rather than to be listened to.# Any music in a film, video game or other medium that establishes mood and is not meant to have the audience's focus.
black belt	# en The highest belt colour in various martial arts.#: # en Someone who has attained the black belt in martial arts.#: #: ''Raymond is a '''black belt''' in karate.''# en Great skill in any field.# en A senior manager who is expert in one of various management systems such as Six Sigma or DMAIC and acts in a project leader or mentor role.# en A geographic region where the residents are predominantly or exclusively African-American.
bioterrorist	# of or relating to a bioterrorist or bioterrorism
Banjarese	# Of or relating to the Banjar people.
borosilicate	# en Any of various minerals whose structure is formally that of a dual salt of boric acid|boric and silicic acids.
buttonhead	# Such a bolt, screw etc.
birthrate	# the ratio of total live births to total population for a specific community or nation in a specified period; often expressed in births per thousand per year
brain bleach	# en A fictitious substance that is used to "clean" disturbing images from the mind.
big rig	# en A large truck, an 18-wheeler.#: ''Driving on the interstate at night, you will see less traffic, but more '''big rigs'''.''Category:en:Transport
bitchwhore	# en Term of abuse.
boiler suit	# A one-piece suit combining trousers and jacket, worn for heavy or hot manual labour.
bridal shower	# en A party held for a bride-to-be in anticipation of her wedding, involving guests (typically female friends and relatives) giving her gifts. Often abbreviated as shower.#: ''The '''bridal shower''' will be held at the home of the bridesmaid.''
burgeoning	# That buds, grows or expands; developing.
biocathodic	# Relating to a biocathode
butylbenzene	# en Any of the isomeric hydrocarbons obtained by replacing one hydrogen atom of a benzene molecule with a butyl group; several of their derivatives are used as insecticides
basipodial	# Relating to a basipodium
benignly	# In a benign manner.
bichord	# en Having two strings
bracketing	# en A series or group of brackets; brackets, collectively.# The act of enclosing (text, etc.) in brackets.Category:English verbal nouns
benzothiadiazine	# A bicyclic heterocyclic benzene derivative with the heterocycle containing two nitrogens and one sulfur.
biorthonormal	# en orthonormal|Orthonormal and having elements that are each orthogonal to all but exactly one element in the other set.|passage=Based on the exact solution, we find that the spatially modulated real and complex fields rearrange the phase boundaries from that of the ordinary Ising model, which can be characterized by the Chern numbers defined in the context of Dirac and '''biorthonormal''' inner products, respectively.. }}
boothman	# en One who mans a booth, such as at a fair or (''historically'') a Thing.# en A corn merchant, especially one in Newcastle-upon-Tyne.<!--because every book I find about boothmen is about Newcastle boothmen-->
board school	# en A school under the control of a school board, as elected by the .
backtracker	# One who, or that which, backtracks.
boo-ya	# en An exclamation of joy, excitement or triumph.
banderillero	# en A member of the cuadrilla who uses banderillas.|title=In Old Mexico|composer=|passage=I cheered at the '''banderilleros'''’ display / as they stuck the bull in their own clever way}}
Blytonesque	# In the style of w:Enid Blyton|Enid Blyton (1897-1968), British children's writer, whose works are characterised by harmless mystery|mysteries investigated by wholesome children.
baking paper	# en
butt pirate	# en A homosexual man.
buforin	# Any of a class of antimicrobial peptides
bisdemethoxycurcumin	# A curcuminoid found in turmeric.
basket	# To place in a #Noun|basket or in baskets.
barrel organ	# A musical instrument in which air from a bellows is admitted to a set of pipes by means of pins inserted into a revolving barrel.
bungle	# en To botch up, bumble or incompetently perform a task; to make or mend clumsily; to manage awkwardly.
bushwalk	# en To undertake an off-road walk in the countryside.
Beefheartian	# Characteristic of  (Don Van Vliet; 1941–2010), American singer-songwriter.Category:English eponyms
blooder	# A person or creature which draws blood# A bloodsucker
breathomic	# Relating to breathomics
bundleware	# en software that is bundled with something else
break the Internet	# en To cause a connection to the Internet, or the Internet itself, to malfunction.# en To overwhelm a web server through organic user-driven demand, such that the server goes offline or is in danger of doing so.# en To deliberately overwhelm a web server through a cyberattack such as a DDOS, such that the server goes offline or is in danger of doing so.# en To do or say something ostentatious or controversial, such that the behavior causes a dramatic increase in traffic to a website or commentary on social media; to go viral.
bodymaster	# The president of a local chapter of freemasons.
boss boy	# en The black leader of a gang of miners.
blooden	# en To make bloody.# en To imbue with characteristics of blood, such as color, life, or fighting spirit.
block of flats	# A residential building consisting of apartments.
blooded	# experienced|Experienced.#: ''I'll let a rookie march behind me with a loaded weapon once he's been '''blooded''' in combat, until then he stays in front where I can see which way he's pointing.''# descendant|Descended from.#: ''He's a full-'''blooded''' Apache.''# bloody, bleeding.|lang=en|date=October 29, 2011|author=Neil Johnston|title=Norwich 3 - 3 Blackburn|work=BBC Sport|url=http://news.bbc.co.uk/sport2/hi/football/15413656.stm|page=|passage=Blackburn's cause was not helped when Morten Gamst Pedersen and Gael Givet collided going for the same ball, both players emerging '''blooded''' and dazed but otherwise unharmed.}}lb|en|zoology|of horses, cattle, etc.}}
big noise	# en An important or influential person.
bruisedness	# The quality of being bruised.
bush week	# en An imagined or symbolic time when assumedly unsophisticated people from the countryside come to the city, likely to be preyed on by tricksters there, or who are unaware of social norms in the city.<ref name="ABCradio" />, #: ''What do you think this is, '''bush week'''?'' (= ''What do you take me for?'' ; ''Do you think I'm an idiot?'')
basiliximab	# A monoclonal antibody used to prevent rejection in organ transplantation, especially in kidney transplants.
barium copper tetrasilicate	# BaCuSi<sub>4</sub>O<sub>10</sub>, the pigment Chinese blue / Han blue; BaO&middot;CuO&middot;(SiO<sub>2</sub>)<sub>4</sub>
belonginess	# the state or sense of belonging
black swallow-wort	# A plant of the species , native to southern Europe, considered invasive in the United States.
brown pelican	# ''Pelecanus occidentalis'', a small pelican found in the Americas.
blastable	# Suitable for blasting.
Brysonian	# Of or relating to  (born 1949), Anglo-American art historian.
barbe espagnole	# en Spanish moss (''Tillandsia usneoides'').Category:en:Bromeliads
blasély	# In a blasé manner.
bedash	# To dash against.# To bespatter with liquid or powder.# To ruin or obliterate.
baby-cut	# 
bridging	# en The system of bracing used between floor or other timbers to distribute the weight.
brigadier general	# en A military officer who commands a brigade.# en A one star general.# en A military rank between colonel and the second lowest general rank or major general, having an O7 NATO rank scale equivalency
billy-oh	# en The greatest extent or degree of something; used in comparisons to indicate a superlative.|lang=en|year=1901|author=w:Edith Nesbit|Edith Nesbit|title=The Wouldbegoods|publisher=T. Fisher Unwin|passage="For the wooden fence leading up to the bridge had caught fire, and it was burning like '''billy oh'''."}}
basicosta	# The distal plate in the axillary area of the wing of an insect along which the costa of the wing articulates|passage=Wing measurements: M 2 /d = length of vein M 2 : greatest length of discal medial cell (discal cell); CuA 1 ratio = length of apical: preapical sections of vein CuA 1 ; lw/ww = greatest length of wing (from '''basicosta''' to apex): greatest width of wing.}}
bevomit	# en To vomit upon; vomit all over.
blenderize	# en To liquefy (food) in a blender.|passage=He has returned, leading small jazz bands, and the one he led on Sunday had a curious duality. Mr. Williams is a crowd pleaser, with a neat synthesis of John Coltrane’s and Cannonball Adderley’s phrasing and harmonic language; his pianist, Eric Lewis, was a crowd-riler, moving from ostinatos to '''blenderized''' whirls of notes, hitting the keys about as hard as anyone can, lodging his solos into your neck.}}
British Columbian	# A native or inhabitant of British Columbia, Canada.
brojob	# oral sex performed by a straight man on another straight man, usually a friend
boxicity	# en The minimum dimension in which a graph may be represented as a specific intersection of boxes|passage=In this note, we define the fractional '''boxicity''' of a graph that is a lower bound for the '''boxicity''' of the graph.. }}
bailout	# A rescue, especially a financial rescue.#: # The process of exiting an aircraft while in flight.# en A backup supply of air in scuba diving.
brimming	# Full to the brim.#: ''a '''brimming''' cup of coffee''
bayed	# Having a bay or bays.
bladderworm	# A bladderlike larva of a tapeworm.
buy side	# en The sector of the finance industry that assists investors and investing institutions in purchasing products from the sell side.# en A model of e-commerce in which an institution uses a software application to electronically streamline the purchasing process.
boxfish	# Any of the family Ostraciidae of often colorful, squared, bony fishes.# Certain species in Ostraciidae, principally in genus ''mul''.
Basque Shepherd Dog	# A herding dog bred in the Basque Country|Basque regions of Northern Spain and Southern France
bladderwort	# Any of many aquatic carnivorous plants, of the genus ''Utricularia'', that have open bladders that trap minute insects and crustaceans.
bugan	# hobgoblin, evil spirit
born with a silver spoon in one's mouth	# en born rich, or into a wealthy family#: ''He was '''born with a silver spoon in his mouth''' and probably never had to work a day in his life.''
bullyable	# susceptible|Susceptible to being bully|bullied.|passage=The Judiciary bill died this week, with the help of other '''bullyable''' Democratic senators like Mr. Rockefeller, Claire McCaskill, Mary Landrieu and Ben Nelson.}}
biarcuate	# en Having two arcuate curves
bridlepath	# A bridleway.
blastoporal	# en Pertaining to a blastopore; blastoporic.
barosaurus	# Any of the genus ''Barosaurus'' of long-tailed, long-necked, herbivorous dinosaurs.|passage=Some of his literary fans could be glimpsed a few weeks ago at PEN’s black-tie gala, paying their respects to Mr. Rushdie as he sipped a drink next to the lumbering '''barosaurus''' at the American Museum of Natural History .}}
business architect	# someone who designs and develops a company's business architectureCategory:en:OccupationsCategory:en:People
Baka	# A member of a nomadic ethnic group inhabiting parts of western and central Africa.
basement-dweller	# en An adult who lives in his or her parents' house (stereotypically in their basement); often with implications of idleness or social awkwardness.
base year	# a year chosen for comparison with other years, in statistical analysis and various indices, such as a price index. It usually has an arbitrary value of 100 to make percentage comparisons easier. A new base year can be chosen as the years progress.
bell-bearer	# A Brazilian leaf-hopper (''Bocydium tintinnabuliferum'') with four bell-shaped appendages to its thorax.
borickite	# en Alternate name for delvauxite.
B battery	# en A battery used to to provide the plate voltage for a vacuum tube.
body double	# A film stand-in for an actor, in scenes not involving the face, especially during scenes of nudity, or of dangerous activity.# A w:political decoy|political decoy; a person employed to impersonate a politician, in order to draw attention away from the real person or to take risks on their behalf.
bee-stung	# (of lips etc) very full; almost swollen
big old	# en Emphatically or impressively big; really big.
buck-basket	# en A basket in which clothes are carried to the wash.Category:en:ContainersCategory:en:Laundry
bare-bones	# minimalist|Minimalist; lacking that which is not essential.#: ''Meals on early space flights were '''bare-bones''' affairs; able to supply nutrition, but severely lacking in palatability.''# en Describes a computer sold pre-assembled, but without certain essential components, often a processor, memory, and hard drive.#: ''Emil bought a '''bare-bones''' rig and a new CPU at the computer show, then popped in his old hard drive.''
bare-boned	# en slim; not fleshy; very lean; emaciated# en Very basic; having only the essentials and nothing else.
beholdenness	# The state or quality of being beholden.
biosoftware	# biological or biochemical software
bloody-mindedness	# The state or quality of being bloody-minded.
binyan	# en In Semitic languages, a kind of word stem into which vowels and affixes can be slotted, typically consisting of three letters.
bread knife	# A knife, with a serrated edge, designed to cut bread; sometimes slots into a breadboard.
blueliner	# en A defenseman|passage=On Saturday, hard-luck '''blueliner''' Mike Van Ryn was blasted into the end boards by Montreal forward Max Pacioretty and isn't expected to be available for a week or perhaps longer with a lower body injury.}}
boot tree	# A foot-shaped piece of wood (or plastic) that fits inside a boot in order for it to keep its shape.
boba	# One of the small, usually black, balls of tapioca used in beverages, which are generally consumed through a large straw.# A beverage containing these balls of tapioca.#: 
bioprospecting	# en The methodical search for novel pharmaceutical (and other) products from plants and microorganisms.
blackguard	# en To revile or abuse in scurrilous language.#: # en To act like a blackguard; to be a scoundrel.
bavaroise	# A drink of sweetened milk, eggs and tea, often with some sort of spirit.# en A cold dessert made from custard, cream and gelatine.
bio box	# en A room, overlooking the theatre from the back, from which projection, lighting and sound are controlled.
begrudgingly	# In a begrudging manner; in a manner that is envious or reluctant.
blemishless	# unblemished|Unblemished; without blemishes.
big-shouldered	# Having particularly big or broad shoulders.
buttocklike	# resembling a buttock
Brighton pier	# en queer; homosexualCategory:en:LGBT
beanspilling	# The act of spilling the beans.
bemetizide	# A diuretic drug resembling the thiazides.Category:en:Drugs
bull's eye	# en Any of the first postage stamps produced in Brazil from 1843.
bioneedle	# A small hollow needle, made from sugar, used to deliver a vacine
bump into	# en To collide with.#: ''He '''bumped into''' the wall. I guess that's a risk you take when you read while walking.''# en To cause (a thing) to collide with.#: ''The roads were so slippery that I couldn't stop, and I '''bumped''' my car '''into''' the car in front of me.''# en To meet by chance.#: ''We '''bumped into''' each other at the library yesterday.''Category:English phrasal verbsCategory:English phrasal verbs with particle (into)
branchiomere	# en The embryonic structure that develops into the branchial arch
Bandini	# en nonsense|Nonsense, bullshit.Request Address Only - No Articles|title=Homebrew Digest #1908 (December 13, 1995)|url=http://groups.google.com/group/rec.crafts.brewing/msg/dd6ebd3d09cb72f8?hl=en-GB&dmode=source|newsgroup=rec.crafts.brewing|passage=A month or so ago, (sorry, I don't know which HBD) someone commented that a Professional Brewmaster from Belgium told him that wort should only be transferred by gentle means i.e.. gravity or special "low turbulence pumps" lest the final beer suffer from such abuse. As a proud owner/user of a March MDX powered brew setup, I sure would like to find out if this is a bunch of '''Bandini'''.}}
ballistospore	# en A spore that is ejected or shot off.#: 
biostat	# en A container in which organisms are kept in a controlled environment
big sleep	#  death|Death. Category:en:Death
bailee	# en One who holds bailed property; one who takes possession of the property of another (called a bailor) in order to keep that property safe for the other.Category:en:People
banilla	# en A combination of banana and vanilla.#: ''a '''banilla''' cream pie''#: ''a '''banilla''' smoothie''
bovarysm	# en# en en
burnie	# en A small brook.#: |lang=en|year=1785|title=Epistle To William Simson Schoolmaster, Ochiltree|first=Robert|last=Burns|authorlink=Robert Burns|passage=But, Willie, set your fit to mine, / An' cock your crest, / We'll gar our streams an' '''burnies''' shine / Up wi' the best.}}Webster 1913}}
bailey	# The outer wall of a feudal castle.# The space immediately within the outer wall of a castle or fortress.# en A prison or court of justice.#: ''the Old '''Bailey''' in London; the New '''Bailey''' in Manchester''
bromidic	# stale, banal, clichéd
bicalcarate	# en Having two spurs, as the wing or leg of a bird may.
billon	# Any of several alloys of precious metals and base metals that are used (where legal) to make coins, medals etc.
bloodguilty	# Guilty of murder or bloodshed.
beta	# en To preliminarily release computer software for initial testing prior to final release.# en To beta-read a text.
barrage	# en to direct a barrage at; to bombard
billot	# bullion in the bar or mass
breeks	# pants|Pants, breeches.
billow	# To surge or roll in billows# To swell out or bulge
beth	# The second letter of the Aramaic alphabet, 𐡁# The second letter of the Hebrew alphabet, ב# The second letter of the Syriac alphabet, ܒ
bobby bean	# A French bean that is larger than 8mm in diameter, typically from a species such as Nerina, Bronco, or Paulista.
bearskin	# The pelt of a bear, especially when used as a rug.# A tall ceremonial hat worn by members of some British regiments for ceremonial occasions; a busby.# en A coarse, shaggy, woollen cloth for overcoats.
boycock	# en The penis of a young man.
bevelment	# en The replacement of an edge by two similar planes, equally inclined to the including faces or adjacent planes.
bleating	# A noise that bleats; inane or plaintive chatter.
bit decay	# en bit rot|Bit rot: the putative tendency of content in storage to become corrupt over time.# en bit rot|Bit rot: the tendency of software in storage to develop bugs over time due to minor incompatibility|incompatibilities with newer operating environments.
botryococcene	# en Any of a family of triterpene hydrocarbons, produced by the alga , that have applications as biofuel.
bromatology	# The study of food.
benzoannelated	# en annelated with one or more fused benzene rings
blazerless	# Without a blazer.
big-boned	# en fat|Fat, obese.# Category:English parasynthetic adjectivesCategory:en:Obesity
bombless	# Without bombs.
beamless	# Not having a beam.# Not emitting light.
beer line	# The pipe that carries beer from the cellar to the bar in a pub or restaurant.
bentorite	# en A hard transparent violet mineral with vitreous lustre.
bepuff	# en To puff out.# en To puff; praise fulsomely; bepraise.
breech screw	# A breech pin.
barhop	# To drink at a number of bars during a single day or evening.
Baldwin's rules	# en A series of guidelines outlining the relative favorability|favorabilities of ring closure reactions in alicyclic compounds.Category:English eponyms
badgerer	# One who badgers.# A dog used in baiting badgers.Category:English agent nouns
biflagellated	# biflagellate
bissap	# The plant roselle (''Hibiscus sabdariffa'').
blende	# en sphalerite 
brocatel	# A kind of coarse brocade, or figured fabric, used chiefly for tapestry, linings for carriages, etc.# A kind of marble, clouded and veined with white, grey, red, and especially yellow; Siena marble.Category:English 3-syllable words
bona peritura	# en perishable goods#: 
bust the dust	# en To clean dust off something, such as with a vacuum cleaner.#: ''After I scrub the floor, I'm going to '''bust the dust'''.''
bitters	# A liquid used in mixed drinks or as a tonic into which bitter herbs have been steeped (it can also be found in powdered form for adding to mixed drinks).
bombilate	# en To hum or buzz.
blood nose	# en A nose that is bleeding internally.# en A haemorrhage from the nose; a nosebleed.
biosynthesizer	# en A biochemical synthesizer (device or system)
block and tackle	# A system in which a rope, cable or chain (the tackle) is passed over pulleys enclosed in two (or rarely more) blocks, one fixed and one attached to a load, which is used to gain mechanical advantage to lift or pull heavy loads.# en The underwear combination of stockings worn with a suspender belt.
bleaunt	# en A short tunic or blouse worn in the Middle Ages
botanical garden	# A place where a variety of plants are grown, primarily for scientific or educational reasons, but are normally open to the public, and include ornamental plants from around the world.
ballroomy	# en Characteristic of ballroom dance.|passage=The mood is big city, with flashes of madcap mischief, craziness and devilry on the part of Rabbit and (especially) Rogue; the Rag Couple, sometimes '''ballroomy''', have notes of tension and dispute.}}
bromogelatin	# en A process for preparing dry plates with an emulsion of bromides and silver nitrate in gelatin.
bind over	# en To compel someone  do, or abstain from, a particular act.
bushranger	# en A convict or outlaw who escapes to the bush to avoid capture; a roving bandit who lives in the bush.# en A person skilled in bushcraft.
bilberrying	# The gathering of bilberry|bilberries.
bisquare	# en An extension of the least squares method that removes or downweights extreme outliers
bushcat	# en civet
binomial distribution	# en The discrete probability distribution of the number of successes in a sequence of ''n'' independent trials, each of which yields success with probability ''p''.
bariatrics	# en The branch of medicine dealing with obesity and weight problems.
bromanil	# A substance analogous to chloranil but containing bromine in place of chlorine.
beshmet	# An outer garment typical of Turkic, Mongolian and Caucasian peoples, similar to a kaftan
blasty	# en Affected by blasts; gusty.# en Causing blast or injury.
bathymeter	# A bathometer.
blasto	# en ''Blastomyces''.# en blastomycosis|Blastomycosis.
bacteriophilous	# en Having an attraction to bacterium|bacteria (typically symbiotic)
Boyce-Codd normal form	# en A stage in the normalization of a relational database in which a database is in third normal form and all determinants are candidate keys.
body line	# en The mean line; the level of the top of the main lower-case letters (without ascenders). # A person's posture or bearing. # en The bodyline style of bowling. <!--uncountable?--># The shape or profile of the body of an animal etc.
biosystematist	# One who works with biosystematics.
bloodiness	# The characteristic of being bloody.
biotinylate	# To attach a biotin residue to a biological macromolecule in order to label it|passage=After 30 min, the reaction was supplemented to a final volume of 25 μL with 5 units of Klenow fragment (3′→5′ exo-) DNA polymerase (NEB, USA) and 5 μM of biotin-14-dUTP, dATP, dGTP and dCTP and incubated at 37 °C for another 30 min to fill in the overhangs and '''biotinylate''' the fragmented DNA.}}
blind tiger	# A speakeasy.# en A drug joint where illegal sale of intoxicant drugs takes place.
bone density	# en Bone mineral density; a measure indicating the amount of mineral in bones, used to estimate the risk of osteoporosis or fractures.
besotted	# infatuated# intellectually or morally blinded# intoxicated
break wind	# en To expel gases generated during digestion, especially through the anus; to fart or flatulate.#: ''Then one of the people on the bus '''broke wind'''.''
